CountryCode,RegionCode
AFG,PUB
ALB,PRIV
DZA,MEA
AGO,SSF
ARG,LCN
ARM,PRIV
ABW,LCN
AUS,EAS
AUT,PRIV
AZE,PRIV
BHS,LCN
BHR,MEA
BGD,PUB
BRB,LCN
BLR,PRIV
BEL,PRIV
BLZ,LCN
BEN,SSF
BTN,PUB
BOL,LCN
BIH,PRIV
BWA,SSF
BRA,LCN
BRN,EAS
BGR,PRIV
BFA,SSF
BDI,SSF
KHM,EAS
CMR,SSF
CAN,NAC
CPV,SSF
CAF,SSF
TCD,SSF
CHI,PRIV
CHL,LCN
CHN,EAS
COL,LCN
COM,SSF
COD,SSF
COG,SSF
CRI,LCN
CIV,SSF
HRV,PRIV
CUB,LCN
CYP,PRIV
CZE,PRIV
DNK,PRIV
DJI,MEA
DOM,LCN
ECU,LCN
EGY,MEA
SLV,LCN
GNQ,SSF
ERI,SSF
EST,PRIV
ETH,SSF
FJI,EAS
FIN,PRIV
FRA,PRIV
PYF,EAS
GAB,SSF
GMB,SSF
GEO,PRIV
DEU,PRIV
GHA,SSF
GRC,PRIV
GRD,LCN
GUM,EAS
GTM,LCN
GIN,SSF
GNB,SSF
GUY,LCN
HTI,LCN
HND,LCN
HKG,EAS
HUN,PRIV
ISL,PRIV
IND,PUB
IDN,EAS
IRN,MEA
IRQ,MEA
IRL,PRIV
ISR,MEA
ITA,PRIV
JAM,LCN
JPN,EAS
JOR,MEA
KAZ,PRIV
KEN,SSF
PRK,EAS
KOR,EAS
KSV,PRIV
KWT,MEA
KGZ,PRIV
LAO,EAS
LVA,PRIV
LBN,MEA
LSO,SSF
LBR,SSF
LBY,MEA
LTU,PRIV
LUX,PRIV
MAC,EAS
MKD,PRIV
MDG,SSF
MWI,SSF
MYS,EAS
MDV,PUB
MLI,SSF
MLT,MEA
MRT,SSF
MUS,SSF
MYT,SSF
MEX,LCN
FSM,EAS
MDA,PRIV
MNG,EAS
MNE,PRIV
MAR,MEA
MOZ,SSF
MMR,EAS
NAM,SSF
NPL,PUB
NLD,PRIV
NCL,EAS
NZL,EAS
NIC,LCN
NER,SSF
NGA,SSF
NOR,PRIV
OMN,MEA
PAK,PUB
PAN,LCN
PNG,EAS
PRY,LCN
PER,LCN
PHL,EAS
POL,PRIV
PRT,PRIV
PRI,LCN
QAT,MEA
ROU,PRIV
RUS,PRIV
RWA,SSF
WSM,EAS
SMR,PRIV
STP,SSF
SAU,MEA
SEN,SSF
SRB,PRIV
SYC,SSF
SLE,SSF
SGP,EAS
SVK,PRIV
SVN,PRIV
SLB,EAS
SOM,SSF
ZAF,SSF
ESP,PRIV
LKA,PUB
LCA,LCN
VCT,LCN
SDN,SSF
SUR,LCN
SWZ,SSF
SWE,PRIV
CHE,PRIV
SYR,MEA
TJK,PRIV
TZA,SSF
THA,EAS
TLS,EAS
TGO,SSF
TON,EAS
TTO,LCN
TUN,MEA
TUR,PRIV
TKM,PRIV
UGA,SSF
UKR,PRIV
ARE,MEA
GBR,PRIV
USA,NAC
URY,LCN
UZB,PRIV
VUT,EAS
VEN,LCN
VNM,EAS
VIR,LCN
PSE,MEA
YEM,MEA
ZMB,SSF
ZWE,SSF
